"LotFrontage","LotArea","OverallQual","YearBuilt","MasVnrArea","ExterQual","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","Fence","MSZoning_data[[col]]RL","MSZoning_data[[col]]RM","LotShape_data[[col]]IR1","LotShape_data[[col]]IR2","LotShape_data[[col]]Reg","LandContour_data[[col]]HLS","LotConfig_data[[col]]CulDSac","Neighborhood_data[[col]]BrkSide","Neighborhood_data[[col]]Edwards","Neighborhood_data[[col]]IDOTRR","Neighborhood_data[[col]]NAmes","Neighborhood_data[[col]]NoRidge","Neighborhood_data[[col]]NridgHt","Neighborhood_data[[col]]OldTown","Neighborhood_data[[col]]Sawyer","Neighborhood_data[[col]]Somerst","Neighborhood_data[[col]]StoneBr","Neighborhood_data[[col]]Timber","BldgType_data[[col]]1Fam","HouseStyle_data[[col]]1.5Fin","HouseStyle_data[[col]]2Story","RoofStyle_data[[col]]Gable","RoofStyle_data[[col]]Hip","RoofMatl_data[[col]]WdShngl","Electrical_data[[col]]FuseA","Electrical_data[[col]]FuseF","Electrical_data[[col]]SBrkr","GarageType_data[[col]]0","GarageType_data[[col]]Attchd","GarageType_data[[col]]BuiltIn","GarageType_data[[col]]Detchd","SaleType_data[[col]]New","SaleType_data[[col]]WD","SaleCondition_data[[col]]Normal","SaleCondition_data[[col]]Partial","Exterior1st_data[[col]]CemntBd","Exterior1st_data[[col]]MetalSd","Exterior1st_data[[col]]VinylSd","Exterior1st_data[[col]]Wd Sdng","Exterior2nd_data[[col]]CmentBd","Exterior2nd_data[[col]]MetalSd","Exterior2nd_data[[col]]VinylSd","Exterior2nd_data[[col]]Wd Sdng","Foundation_data[[col]]BrkTil","Foundation_data[[col]]CBlock","Foundation_data[[col]]PConc","MasVnrType_data[[col]]BrkFace","MasVnrType_data[[col]]None","MasVnrType_data[[col]]Stone"
0.15068493,0.0334198042,7,20,0.1225,4,4,3,1,6,0.1250885897,0.064212329,0.1400982,5,1,0.119779715,0.41355932,0.25923135,1,2,1,3,1,4,8,0,20,2,2,0.3864598,3,3,0,0.111517367,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
0.20205479,0.0387950174,6,47,0,3,4,3,4,5,0.1732813607,0.121575342,0.20654664,5,1,0.212941716,0,0.17483044,0,2,0,3,1,3,6,1,47,2,2,0.3244006,3,3,0.34772462,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0.1609589,0.0465072799,7,22,0.10125,4,4,3,2,6,0.0861091425,0.185787671,0.15057283,5,1,0.134465351,0.41937046,0.27354936,1,2,1,3,1,4,6,1,22,2,2,0.4287729,3,3,0,0.07678245,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
0.13356164,0.0385613125,7,108,0,3,3,4,1,5,0.03827073,0.231164384,0.12373159,4,1,0.143873336,0.36610169,0.26055011,1,1,0,3,1,4,7,1,25,1,3,0.4527504,3,3,0,0.063985375,0.49275362,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0.21575342,0.0605763163,8,23,0.21875,4,4,3,3,6,0.1160524451,0.209760274,0.18739771,5,1,0.186094539,0.50992736,0.35116805,1,2,1,4,1,4,9,1,23,2,3,0.5895628,3,3,0.22403734,0.153564899,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
0.21917808,0.0598985721,5,30,0,3,4,3,1,6,0.1296952516,0.02739726,0.13027823,5,1,0.106011932,0.27409201,0.19366993,1,1,1,1,1,3,5,0,30,1,2,0.3385049,3,3,0.04667445,0.054844607,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0.18493151,0.0410572811,8,19,0.11625,4,5,3,3,6,0.2425584692,0.135702055,0.27594108,5,1,0.312069757,0,0.25621703,1,2,0,3,1,4,7,1,19,2,2,0.448519,3,3,0.29754959,0.104204753,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0.16438356,0.0424501624,7,50,0.15,3,4,3,2,5,0.1521970234,0.092465753,0.1811784,5,1,0.177374943,0.47602906,0.3308214,1,2,1,3,1,3,7,2,50,2,2,0.3413258,3,3,0.27421237,0.372943327,0.41304348,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.10273973,0.0225291547,7,92,0,3,3,3,1,1,0,0.407534247,0.15581015,4,1,0.157870583,0.36416465,0.27128862,0,2,0,2,2,3,8,2,92,1,2,0.3300423,2,3,0.1050175,0,0.37137681,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.09931507,0.0286054827,5,84,0,3,3,3,1,6,0.1507795889,0.059931507,0.16219313,5,1,0.170491051,0,0.13997739,1,1,0,2,2,3,5,2,84,2,1,0.1445698,4,3,0,0.007312614,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
